# id	name	description	rgb
21358	Varka Silenos Warrior	"Level 80*"	FF5555
21359	Grazing Bandersnatch	"Level 80*"	FF5555
21360	Varka Silenos Medium	"Level 80*"	FF5555
21361	Varka Silenos Magus	"Level 80*"	FF5555
21362	Varka Silenos Officer	"Level 80*"	FF5555
21363	Grazing Flava	"Level 80*"	FF5555
21364	Varka Silenos Seer	"Level 80*"	FF5555
21365	Varka Silenos Great Magus	"Level 80*"	FF5555
21366	Varka Silenos General	"Level 80*"	FF5555
21367	Grazing Elder Antelope	"Level 80*"	FF5555
21368	Varka Silenos Great Seer	"Level 80*"	FF5555
21369	Varka's Commander	"Level 80*"	FF5555
21370	Varka's Elite Guard	"Level 80"	A9E89C
21371	Varka's Head Magus	"Level 80*"	FF5555
21372	Varka's Head Guard	"Level 80"	A9E89C
21373	Varka's Prophet	"Level 80*"	FF5555
21374	Prophet Guard	"Level 80"	A9E89C
21375	Disciple of Prophet	"Level 80"	A9E89C
21376	Scarlet Stakato Walker	"Level 78*"	FF5555
21377	Scarlet Stakato Soldier	"Level 78*"	FF5555
21378	Scarlet Stakato Noble	"Level 79*"	FF5555
21379	Tepra Scorpion	"Level 79*"	FF5555
21380	Tepra Scarab	"Level 79*"	FF5555
21381	Assassin Beetle	"Level 80*"	FF5555
21382	Mercenary of Destruction	"Level 80*"	FF5555
21383	Knight of Destruction	"Level 80*"	FF5555
21384	Necromancer of Destruction	"Level 80*"	FF5555
21385	Lavastone Golem	"Level 80*"	FF5555
21386	Magma Golem	"Level 80*"	FF5555
21387	Arimanes of Destruction	"Level 80*"	FF5555
21388	Iblis of Destruction	"Level 80*"	FF5555
21389	Balrog of Destruction	"Level 80*"	FF5555
21390	Ashuras of Destruction	"Level 80*"	FF5555
21391	Lavasillisk	"Level 80*"	FF5555
21392	Blazing Ifrit	"Level 80*"	FF5555
21393	Magma Drake	"Level 80*"	FF5555
21394	Lavasaurus	"Level 79*"	FF5555
21395	Elder Lavasaurus	"Level 80*"	FF5555
21396	Carrion Scarab	"Level 78"	A9E89C
21397	Carrion Scarab	"Level 78"	A9E89C
21398	Soldier Scarab	"Level 78*"	FF5555
21399	Soldier Scarab	"Level 78*"	FF5555
21400	Hexa Beetle	"Level 79"	A9E89C
21401	Hexa Beetle	"Level 79*"	FF5555
21402	Katraxis	"Level 79*"	FF5555
21403	Katraxis	"Level 79*"	FF5555
21404	Tera Beetle	"Level 80"	A9E89C
21405	Tera Beetle	"Level 80"	A9E89C
21406	Knight of Empire	"Level 80*"	FF5555
21407	Knight of Empire	"Level 80*"	FF5555
21408	Royal Guard of Empire	"Level 80*"	FF5555
21409	Royal Guard of Empire	"Level 80*"	FF5555
21410	Guardian Scarab	"Level 80"	A9E89C
21411	Guardian Scarab	"Level 80"	A9E89C
21412	Ustralith	"Level 80*"	FF5555
21413	Ustralith	"Level 80*"	FF5555
21414	Assassin of Empire	"Level 80"	A9E89C
21415	Assassin of Empire	"Level 80"	A9E89C
21416	Imperial Commander	"Level 80*"	FF5555
21417	Imperial Commander	"Level 80*"	FF5555
21418	Imperial Royal Guard	"Level 80"	A9E89C
21419	Imperial Royal Guard	"Level 80"	A9E89C
21420	Ashuras	"Level 80*"	FF5555
21421	Ashuras	"Level 80*"	FF5555
21422	Dancer of Empire	"Level 80"	A9E89C
21423	Dancer of Empire	"Level 80*"	FF5555
21424	Ashkenas	"Level 80"	A9E89C
21425	Ashkenas	"Level 80*"	FF5555
21426	Abraxion	"Level 80*"	FF5555
21427	Abraxion	"Level 80*"	FF5555
21428	Hasturan	"Level 80*"	FF5555
21429	Hasturan	"Level 80*"	FF5555
21430	Arimanes	"Level 80"	A9E89C
21431	Arimanes	"Level 80"	A9E89C
21432	Chakram Beetle	"Level 80"	A9E89C
21433	Jamadar Beetle	"Level 79"	A9E89C
21434	Seer of Blood	"Level 82"	A9E89C
21435	Guide of Offering	"Level 80"	A9E89C
21436	Leader of Offering	"Level 80"	A9E89C
21437	Offering Bug	"Level 79"	A9E89C
21438	Heathen Warrior	"Level 65*"	FF5555
21439	Heathen Executed	"Level 66*"	FF5555
21440	Heathen Archer	"Level 67"	A9E89C
21441	Heathen Grunt	"Level 68*"	FF5555
21442	Heathen Knight	"Level 69*"	FF5555
21443	Raider of Pastureland	"Level 63*"	FF5555
21444	Raider of Pastureland	"Level 63*"	FF5555
21445	Alpen Bandersnatch	"Level 64*"	FF5555
21446	Raider of Pastureland	"Level 64*"	FF5555
21447	Raider of Pastureland	"Level 66*"	FF5555
21448	Raider of Pastureland	"Level 66*"	FF5555
21449	Raider of Pastureland	"Level 68*"	FF5555
21450	Alpen Grendel	"Level 68*"	FF5555
21451	Alpen Kookaburra	"Level 65"	A9E89C
21452	Alpen Kookaburra	Stone of Purity / Doom Plate Armor Temper	108000
21453	Alpen Kookaburra	BW Leather T. / Leather Mail of Doom D.	104080
21454	Alpen Kookaburra	Cord / Compound Braid / BW Tunic Fabric	108000
21455	Alpen Kookaburra	Tunic of Doom Pattern	104080
21456	Alpen Kookaburra	Cord / Mold Glue / BW Stockings Pattern	108000
21457	Alpen Kookaburra	BW Helmet Design / Stoking of Doom Pattern	104080
21458	Alpen Kookaburra	Mold Hard / Doom Helmet P. / Rec: Mithril Arrow	108000
21459	Alpen Kookaburra	Crafted Leather / Blue Wolf Boots Design	104080
21460	Alpen Kookaburra	Doom Gloves Part / Blue Wolf Gloves Fabric	108000
21461	Alpen Kookaburra	Mithril Ore / Enria / Doom Boots Part	104080
21462	Alpen Kookaburra	Sword of Damascus B. / Rec: Meteor Shower	108000
21463	Alpen Kookaburra	Stone of Purity / Mold Hardener / Lance Blade	104080
21464	Alpen Kookaburra	Deadman’s G. S. / AoBA B. / Rec: Carnage Bow	108000
21465	Alpen Kookaburra	Metal Hard / Evil Spirit H. / Rec: Bloody Orchid	104080
21466	Alpen Kookaburra	Enria / Demon’s Sword E. / Rec: Blood Tornado	108000
21467	Alpen Kookaburra	Bellion Cestus E. / BoP S. / Rec: Halberd	104080
21468	Alpen Kookaburra	HGS / Metal Hard / Rec: Tallum Boots	108000
21469	Alpen Kookaburra	Rec: Dasparion’s Staff / Rec: Elemental Sword	104080
21470	Alpen Buffalo	"Level 67"	A9E89C
21471	Alpen Buffalo	Crafted Leather / Enria / Lance Blade	108000
21472	Alpen Buffalo	Deadman’s Glory Stone / Art of Battle Axe Blade	104080
21473	Alpen Buffalo	Asofe / Evil Spirit Head / Recipe: Mithril Arrow	108000
21474	Alpen Buffalo	Mold Glue / Demon’s Sword Edge	104080
21475	Alpen Buffalo	Bellion Cestus Edge / Bow of Peril Shaft	108000
21476	Alpen Buffalo	Stone of Purity / Mold Hardener 	104080
21477	Alpen Buffalo	Recipe: Meteor Showers	108000
21478	Alpen Buffalo	High Grade Suede / Mold Hardener 	104080
21479	Alpen Buffalo	Doom Shield F./BW Bp P./Rec: Carnage Bow	108000
21480	Alpen Buffalo	Compound Braid/BW Gaiters M./Rec: Bloody O.	104080
21481	Alpen Buffalo	DMP/Doom Plate Armor T./Rec: Blood Tornado	108000
21482	Alpen Buffalo	BW L. Armor T./L. Mail of Doom D./Rec: Halberd	104080
21483	Alpen Buffalo	Adamantite Nugget / Mold Lubr / Rec: DC Shield	108000
21484	Alpen Buffalo	T. of Doom P./Rec: Daspa’s S./Rec: Element S.	104080
21485	Alpen Buffalo	SoP/Mold Lubr/BW Stocking P./Rec: DC Boots	108000
21486	Alpen Buffalo	BW Helm D./Stock of Doom P./Rec: Tallum B.	104080
21487	Alpen Buffalo	CL/Doom Helm P./Rec: Ph N./Rec: Tallum Helm	108000
21488	Alpen Buffalo	Thon/BW Boots D./Rec: Ph E./Rec: DC Helm	104080
21489	Alpen Cougar	"Level 69"	A9E89C
21490	Alpen Cougar	Recipe: Dragon Grinder / Recipe: Tallum Glaive	108000
21491	Alpen Cougar	Mold Hardener / DC Leather Armor P. / EAA	104080
21492	Alpen Cougar	Tallum L. Armor P. / Mold Lubr / Rec: BoMT	108000
21493	Alpen Cougar	DC Leaggings D. / Tallum Tunic T. / Rec: DLE	104080
21494	Alpen Cougar	Mithril Ore / Enria / EWA	108000
21495	Alpen Cougar	Tallum Stocking F. / DC Robe F. / Rec: SoM	104080
21496	Alpen Cougar	DC Shield F. / EAA / Recipe: Majestic Necklace 	108000
21497	Alpen Cougar	Cord/Mold Glue/DC Boots L./Rec: Shield of NM	104080
21498	Alpen Cougar	Tallum Boots L. / Rec: Maj R. / Rec: Maj E.	108000
21499	Alpen Cougar	Metallic Fiber / Dark Crystal Gloves D. / EWA	104080
21500	Alpen Cougar	Enria / Tallum Glove Design / Rec: Dragon Slayer	108000
21501	Alpen Cougar	DC Bp P. / Tallum Plate Armor P. / Rec: Elysian	104080
21502	Alpen Cougar	HGS / Mold Hard / EAA / Rec: Majestic Circlet	108000
21503	Alpen Cougar	DC Helmet D. / DC Gaiters P. / Rec: Soul Bow	104080
21504	Alpen Cougar	Tallum Helm D. / EWA / Rec: Soul Separator	108000
21505	Alpen Cougar	Asofe/DMP/Meteor Shower H./Rec: Shield of NM	104080
21506	Alpen Cougar	Carnage B. S. / Rec: Dragon G. / Rec: Tallum G.	108000
21507	Alpen Cougar	Mold Hard/Bloody O. H./EAA/Rec: Helm of NM	104080
21508	Splinter Stakato	"Level 66*"	FF5555
21509	Splinter Stakato Worker	"Level 67*"	FF5555
21510	Splinter Stakato Soldier	"Level 68*"	FF5555
21511	Splinter Stakato Drone	"Level 69*"	FF5555
21512	Splinter Stakato Drone	"Level 70"	A9E89C
21513	Needle Stakato	"Level 70*"	FF5555
21514	Needle Stakato Worker	"Level 71*"	FF5555
21515	Needle Stakato Soldier	"Level 72*"	FF5555
21516	Needle Stakato Drone	"Level 73*"	FF5555
21517	Needle Stakato Drone	"Level 74"	A9E89C
21518	Frenzy Stakato Soldier	"Level 68"	A9E89C
21519	Frenzy Stakato Drone	"Level 72"	A9E89C
21520	Eye of Splendor	"Level 60"	A9E89C
21521	Claws of Splendor	"Level 60"	A9E89C
21522	Claws of Splendor	"Level 60"	A9E89C
21523	Flash of Splendor	"Level 61*"	FF5555
21524	Blade of Splendor	"Level 61"	A9E89C
21525	Blade of Splendor	"Level 61"	A9E89C
21526	Wisdom of Splendor	"Level 62*"	FF5555
21527	Anger of Splendor	"Level 63"	A9E89C
21528	Anger of Splendor	"Level 63"	A9E89C
21529	Soul of Splendor	"Level 63*"	FF5555
21530	Victory of Splendor	"Level 64"	A9E89C
21531	Punishment of Splendor	"Level 64"	A9E89C
21532	Shout of Splendor	"Level 65*"	FF5555
21533	Alliance of Splendor	"Level 65"	A9E89C
21534	Alliance of Splendor	"Level 65"	A9E89C
21535	Signet of Splendor	"Level 66*"	FF5555
21536	Crown of Splendor	"Level 66"	A9E89C
21537	Fang of Splendor	"Level 67"	A9E89C
21538	Fang of Splendor	"Level 67"	A9E89C
21539	Wailing of Splendor	"Level 67"	A9E89C
21540	Wailing of Splendor	"Level 67"	A9E89C
21541	Pilgrim of Splendor	"Level 63*"	FF5555
21542	Disciple of Pilgrim	"Level 62"	A9E89C
21543	Page of Pilgrim	"Level 62"	A9E89C
21544	Judge of Splendor	"Level 67*"	FF5555
21545	Judge of Fire	"Level 66"	A9E89C
21546	Judge of Light	"Level 66"	A9E89C
21547	Corrupted Knight	"Level 63"	A9E89C
21548	Resurrected Knight	"Level 63"	A9E89C
21549	Corrupted Guard	"Level 64"	A9E89C
21550	Corrupted Guard	"Level 64*"	FF5555
21551	Resurrected Guard	"Level 66"	A9E89C
21552	Resurrected Guard	"Level 66*"	FF5555
21553	Trampled Man	"Level 65"	A9E89C
21554	Trampled Man	"Level 65"	A9E89C
21555	Slaughter Executioner	"Level 65"	A9E89C
21556	Slaughter Executioner	"Level 65"	A9E89C
21557	Bone Snatcher	"Level 66"	A9E89C
21558	Bone Snatcher	"Level 66"	A9E89C
21559	Bone Maker	"Level 66*"	FF5555
21560	Bone Shaper	"Level 66*"	FF5555
21561	Sacrificed Man	"Level 67*"	FF5555
21562	Guillotine's Ghost	"Level 67*"	FF5555
21563	Bone Collector	"Level 67"	A9E89C
21564	Skull Collector	"Level 67*"	FF5555
21565	Bone Animator	"Level 68"	A9E89C
21566	Skull Animator	"Level 68*"	FF5555
21567	Bone Slayer	"Level 68*"	FF5555
21568	Devil Bat	"Level 68*"	FF5555
21569	Devil Bat	"Level 68*"	FF5555
21570	Ghost of Betrayer	"Level 69*"	FF5555
21571	Ghost of Rebellion Soldier	"Level 69*"	FF5555
21572	Bone Sweeper	"Level 69"	A9E89C
21573	Atrox	"Level 69*"	FF5555
21574	Bone Grinder	"Level 70*"	FF5555
21575	Bone Grinder	"Level 70*"	FF5555
21576	Ghost of Guillotine	"Level 70"	A9E89C
21577	Ghost of Guillotine	"Level 70"	A9E89C
21578	Behemoth Zombie	"Level 71"	A9E89C
21579	Ghost of Rebellion Leader	"Level 71"	A9E89C
21580	Bone Caster	"Level 71"	A9E89C
21581	Bone Puppeteer	"Level 71*"	FF5555
21582	Vampire Soldier	"Level 71"	A9E89C
21583	Bone Scavenger	"Level 72"	A9E89C
21584	Bone Scavenger	"Level 72"	A9E89C
21585	Vampire Magician	"Level 72*"	FF5555
21586	Vampire Adept	"Level 72*"	FF5555
21587	Vampire Warrior	"Level 72"	A9E89C
21588	Vampire Wizard	"Level 73"	A9E89C
21589	Vampire Wizard	"Level 73"	A9E89C
21590	Vampire Magister	"Level 73"	A9E89C
21591	Vampire Magister	"Level 73"	A9E89C
21592	Vampire Magister	"Level 73"	A9E89C
21593	Vampire Warlord	"Level 73"	A9E89C
21594	Vampire Warlord	"Level 73"	A9E89C
21595	Vampire Warlord	"Level 73"	A9E89C
21596	Requiem Lord	"Level 68*"	FF5555
21597	Requiem Behemoth	"Level 67"	A9E89C
21598	Requiem Behemoth	"Level 67"	A9E89C
21599	Requiem Priest	"Level 71*"	FF5555
21600	Requiem Behemoth	"Level 70"	A9E89C
21601	Requiem Behemoth	"Level 70"	A9E89C
21602	Zaken's Pikeman	"Level 43*"	FF5555
21603	Zaken's Pikeman	"Level 43*"	FF5555
21604	Zaken's Elite Pikeman	"Level 43*"	FF5555
21605	Zaken's Archer	"Level 44"	A9E89C
21606	Zaken's Archer	"Level 44"	A9E89C
21607	Zaken's Elite Archer	"Level 44"	A9E89C
21608	Zaken's Watchman	"Level 45*"	FF5555
21609	Zaken's Watchman	"Level 45*"	FF5555
21610	Zaken's High Grade Watchman	"Level 45*"	FF5555
21611	Unpleasant Humming	"Level 46*"	FF5555
21612	Unpleasant Humming	"Level 46*"	FF5555
21613	Unpleasant Shout	"Level 46*"	FF5555
21614	Death Flyer	"Level 47"	A9E89C
21615	Death Flyer	"Level 47"	A9E89C
21616	Gigantic Flyer	"Level 47"	A9E89C
21617	Fiend Archer	"Level 48*"	FF5555
21618	Fiend Archer	"Level 48*"	FF5555
21619	Pit Archer	"Level 48*"	FF5555
21620	Musveren	"Level 49"	A9E89C
21621	Musveren	"Level 49"	A9E89C
21622	Greater Musveren	"Level 49"	A9E89C
21623	Zaken's Guard	"Level 50*"	FF5555
21624	Zaken's Guard	"Level 50*"	FF5555
21625	Zaken's Elite Guard	"Level 50*"	FF5555
21626	Kaim Vanul	"Level 51"	A9E89C
21627	Kaim Vanul	"Level 51"	A9E89C
21628	Kaim Vanul Lad	"Level 51"	A9E89C
21629	Pirate Zombie Captain	"Level 52*"	FF5555
21630	Pirate Zombie Captain	"Level 52*"	FF5555
21631	Zombie Captain's Spiritual Body	"Level 52*"	FF5555
21632	Doll Blader	"Level 53"	A9E89C
21633	Doll Blader	"Level 53"	A9E89C
21634	Crimson Doll Blader	"Level 53"	A9E89C
21635	Vale Master	"Level 54*"	FF5555
21636	Vale Master	"Level 54*"	FF5555
21637	Crimson Vale Master	"Level 54*"	FF5555
21638	Dread Wolf	"Level 35*"	FF5555
21639	Tasaba Lizardman	"Level 36"	A9E89C
21640	Tasaba Lizardman Shaman	"Level 37"	A9E89C
21641	Ogre	"Level 38*"	FF5555
21642	Tasaba Lizardman Sniper	"Level 39*"	FF5555
21643	Tasaba Lizardman Sniper	"Level 39*"	FF5555
21644	Lienrik	"Level 39"	A9E89C
21645	Lienrik Lad	"Level 40*"	FF5555
21646	Grave Scarab	"Level 73"	A9E89C
21647	Scavenger Scarab	"Level 73*"	FF5555
21648	Grave Ant	"Level 74"	A9E89C
21649	Scavenger Ant	"Level 74*"	FF5555
21650	Shrine Knight	"Level 75"	A9E89C
21651	Shrine Guard	"Level 75"	A9E89C
21652	Scarlet Stakato Noble	"Level 79*"	FF5555
21653	Assassin Beetle	"Level 80*"	FF5555
21654	Necromancer of Destruction	"Level 80*"	FF5555
21655	Arimanes of Destruction	"Level 80*"	FF5555
21656	Ashuras of Destruction	"Level 80*"	FF5555
21657	Magma Drake	"Level 80*"	FF5555
21658	Punishment of Splendor	"Level 64"	A9E89C
21659	Otherworldly Invader Soldier	"Level 30"	A9E89C
21660	Otherworldly Invader Soldier	"Level 35*"	FF5555
21661	Otherworldly Invader Archer	"Level 33*"	FF5555
21662	Otherworldly Invader Elite Soldier	"Level 35*"	FF5555
21663	Otherworldly Invader Shaman	"Level 33*"	FF5555
21664	Otherworldly Invader Priest	"Level 30"	A9E89C
21665	Otherworldly Invader Magus	"Level 35*"	FF5555
21666	Otherworldly Invader Martyrs	"Level 30"	A9E89C
21667	Otherworldly Invader Warrior	"Level 33*"	FF5555
21668	Otherworldly Invader Soldier	"Level 30*"	FF5555
21669	Otherworldly Invader Discipline	"Level 33"	A9E89C
21670	Otherworldly Invader Berserker	"Level 35*"	FF5555
21671	Otherworldly Invader Food	"Level 30"	A9E89C
21672	Otherworldly Invader Elite Soldier	"Level 35*"	FF5555
21673	Otherworldly Invader Elite Soldier	"Level 35*"	FF5555
21674	Otherworldly Invader Elite Soldier	"Level 35"	A9E89C
21675	Otherworldly Invader Elite Soldier	"Level 30"	A9E89C
21676	Otherworldly Invader Warrior	"Level 33*"	FF5555
21677	Otherworldly Invader Elite Soldier	"Level 30*"	FF5555
21678	Otherworldly Invader Elite Soldier	"Level 33*"	FF5555
21679	Otherworldly Invader Elite Soldier	"Level 30*"	FF5555
21680	Otherworldly Invader Elite Soldier	"Level 35*"	FF5555
21681	Otherworldly Invader Magus	"Level 33"	A9E89C
21682	Dimension Invader Soldier	"Level 40"	A9E89C
21683	Dimension Invader Soldier	"Level 45*"	FF5555
21684	Dimension Invader Archer	"Level 43*"	FF5555
21685	Dimension Invader Elite Soldier	"Level 45*"	FF5555
21686	Dimension Invader Shaman	"Level 43*"	FF5555
21687	Dimension Invader Priest	"Level 40"	A9E89C
21688	Dimension Invader Magus	"Level 45*"	FF5555
21689	Dimension Invader Martyrs	"Level 40"	A9E89C
21690	Dimension Invader Warrior	"Level 43*"	FF5555
21691	Dimension Invader Soldier	"Level 40*"	FF5555
21692	Dimension Invader Discipline	"Level 43"	A9E89C
21693	Dimension Invader Berserker	"Level 45*"	FF5555
21694	Dimension Invader Food	"Level 40"	A9E89C
21695	Dimension Invader Elite Soldier	"Level 45*"	FF5555
21696	Dimension Invader Elite Soldier	"Level 45*"	FF5555
21697	Dimension Invader Elite Soldier	"Level 45"	A9E89C
21698	Dimension Invader Elite Soldier	"Level 40"	A9E89C
21699	Dimension Invader Warrior	"Level 43*"	FF5555
21700	Dimension Invader Elite Soldier	"Level 40*"	FF5555
21701	Dimension Invader Elite Soldier	"Level 43*"	FF5555
21702	Dimension Invader Elite Soldier	"Level 40*"	FF5555
21703	Dimension Invader Elite Soldier	"Level 45*"	FF5555
21704	Dimension Invader Magus	"Level 43"	A9E89C
21705	Purgatory Invader Soldier	"Level 50"	A9E89C
21706	Purgatory Invader Soldier	"Level 55*"	FF5555
21707	Purgatory Invader Archer	"Level 53*"	FF5555
21708	Purgatory Invader Elite Soldier	"Level 55*"	FF5555
21709	Purgatory Invader Shaman	"Level 53*"	FF5555
21710	Purgatory Invader Priest	"Level 50"	A9E89C
21711	Purgatory Invader Magus	"Level 55*"	FF5555
21712	Purgatory Invader Martyrs	"Level 50"	A9E89C
21713	Purgatory Invader Warrior	"Level 53*"	FF5555
21714	Purgatory Invader Soldier	"Level 50*"	FF5555
21715	Purgatory Invader Disciples	"Level 53"	A9E89C
21716	Purgatory Invader Berserker	"Level 55*"	FF5555
21717	Purgatory Invader Food	"Level 50"	A9E89C
21718	Purgatory Invader Elite Soldier	"Level 55*"	FF5555
21719	Purgatory Invader Elite Soldier	"Level 55*"	FF5555
21720	Purgatory Invader Elite Soldier	"Level 55"	A9E89C
21721	Purgatory Invader Elite Soldier	"Level 50"	A9E89C
21722	Purgatory Invader Warrior	"Level 53*"	FF5555
21723	Purgatory Invader Elite Soldier	"Level 50*"	FF5555
21724	Purgatory Invader Elite Soldier	"Level 53*"	FF5555
21725	Purgatory Invader Elite Soldier	"Level 50*"	FF5555
21726	Purgatory Invader Elite Soldier	"Level 55*"	FF5555
21727	Purgatory Invader Magus	"Level 53"	A9E89C
21728	Forbidden Path Invader Elite Soldier	"Level 60"	A9E89C
21729	Forbidden Path Invader Elite Soldier	"Level 65*"	FF5555
21730	Forbidden Path Invader Archer	"Level 63*"	FF5555
21731	Forbidden Path Invader Elite Soldier	"Level 65*"	FF5555
21732	Forbidden Path Invader Shaman	"Level 63*"	FF5555
21733	Forbidden Path Invader Priest	"Level 60"	A9E89C
21734	Forbidden Path Invader Magus	"Level 65*"	FF5555
21735	Forbidden Path Invader Martyrs	"Level 60"	A9E89C
21736	Forbidden Path Invader Warrior	"Level 63*"	FF5555
21737	Forbidden Path Invader Soldier	"Level 60*"	FF5555
21738	Forbidden Path Invader Disciple	"Level 63"	A9E89C
21739	Forbidden Path Invader Berserker	"Level 65*"	FF5555
21740	Forbidden Path Invader Food	"Level 60"	A9E89C
21741	Forbidden Path Invader Elite Soldier	"Level 65*"	FF5555
21742	Forbidden Path Invader Elite Soldier	"Level 65*"	FF5555
21743	Forbidden Path Invader Elite Soldier	"Level 65"	A9E89C
21744	Forbidden Path Invader Elite Soldier	"Level 60"	A9E89C
21745	Forbidden Path Invader Warrior	"Level 63*"	FF5555
21746	Forbidden Path Invader Elite Soldier	"Level 60*"	FF5555
21747	Forbidden Path Invader Elite Soldier	"Level 63*"	FF5555
21748	Forbidden Path Invader Elite Soldier	"Level 60*"	FF5555
21749	Forbidden Path Invader Elite Soldier	"Level 65*"	FF5555
21750	Forbidden Path Invader Magus	"Level 63"	A9E89C
21751	Dark Omen Invader Soldier	"Level 70"	A9E89C
21752	Dark Omen Invader Soldier	"Level 75*"	FF5555
21753	Dark Omen Invader Archer	"Level 73*"	FF5555
21754	Dark Omen Invader Elite Soldier	"Level 75*"	FF5555
21755	Dark Omen Invader Shaman	"Level 73*"	FF5555
21756	Dark Omen Invader Priest	"Level 70"	A9E89C
21757	Dark Omen Invader Magus	"Level 75*"	FF5555
21758	Dark Omen Invader Martyrs	"Level 70"	A9E89C
21759	Dark Omen Invader Warrior	"Level 73*"	FF5555
21760	Dark Omen Invader Soldier	"Level 70*"	FF5555
21761	Dark Omen Invader Disciple	"Level 73"	A9E89C
21762	Dark Omen Invader Berserker	"Level 75*"	FF5555
21763	Dark Omen Invader Food	"Level 70"	A9E89C
21764	Dark Omen Invader Elite Soldier	"Level 75*"	FF5555
21765	Dark Omen Invader Elite Soldier	"Level 75*"	FF5555
21766	Dark Omen Invader Elite Soldier	"Level 75"	A9E89C
21767	Dark Omen Invader Elite Soldier	"Level 70"	A9E89C
21768	Dark Omen Invader Warrior	"Level 73*"	FF5555
21769	Dark Omen Invader Elite Soldier	"Level 70*"	FF5555
21770	Dark Omen Invader Elite Soldier	"Level 73*"	FF5555
21771	Dark Omen Invader Elite Soldier	"Level 70*"	FF5555
21772	Dark Omen Invader Elite Soldier	"Level 75*"	FF5555
21773	Dark Omen Invader Magus	"Level 73"	A9E89C
21774	Messenger Invader Soldier	"Level 80"	A9E89C
21775	Messenger Invader Soldier	"Level 80*"	FF5555
21776	Messenger Invader Archer	"Level 80*"	FF5555
21777	Messenger Invader Elite Soldier	"Level 80*"	FF5555
21778	Messenger Invader Shaman	"Level 80*"	FF5555
21779	Messenger Invader Priest	"Level 80"	A9E89C
21780	Messenger Invader Magus	"Level 80*"	FF5555
21781	Messenger Invader Martyrs	"Level 80"	A9E89C
21782	Messenger Invader Warrior	"Level 80*"	FF5555
21783	Messenger Invader Soldier	"Level 80*"	FF5555
21784	Messenger Invader Disciple	"Level 80"	A9E89C
21785	Messenger Invader Berserker	"Level 80*"	FF5555
21786	Messenger Invader Food	"Level 80"	A9E89C
21787	Messenger Invader Elite Soldier	"Level 80*"	FF5555
21788	Messenger Invader Elite Soldier	"Level 80*"	FF5555
21789	Messenger Invader Elite Soldier	"Level 80"	A9E89C
21790	Messenger Invader Elite Soldier	"Level 80"	A9E89C
21791	Messenger Invader Warrior	"Level 80*"	FF5555
21792	Messenger Invader Elite Soldier	"Level 80*"	FF5555
21793	Messenger Invader Elite Soldier	"Level 80*"	FF5555
21794	Messenger Invader Elite Soldier	"Level 80*"	FF5555
21795	Messenger Invader Elite Soldier	"Level 80*"	FF5555
21796	Messenger Invader Magus	"Level 80"	A9E89C
21797	Spirit of Timiniel	"Level 55"	A9E89C
21798	Ghost of a Gatekeeper	"Level 76"	A9E89C
21799	Ghost of a Gatekeeper	"Level 76"	A9E89C
21800	Vassal Ghost	"Level 77"	A9E89C
21801	Treasure Chest	"Level 21"	A9E89C
21802	Treasure Chest	"Level 24"	A9E89C
21803	Treasure Chest	"Level 27"	A9E89C
21804	Treasure Chest	"Level 30"	A9E89C
21805	Treasure Chest	"Level 33"	A9E89C
21806	Treasure Chest	"Level 36"	A9E89C
21807	Treasure Chest	"Level 39"	A9E89C
21808	Treasure Chest	"Level 42"	A9E89C
21809	Treasure Chest	"Level 45"	A9E89C
21810	Treasure Chest	"Level 48"	A9E89C
21811	Treasure Chest	"Level 51"	A9E89C
21812	Treasure Chest	"Level 54"	A9E89C
21813	Treasure Chest	"Level 57"	A9E89C
21814	Treasure Chest	"Level 60"	A9E89C
21815	Treasure Chest	"Level 63"	A9E89C
21816	Treasure Chest	"Level 66"	A9E89C
21817	Treasure Chest	"Level 69"	A9E89C
21818	Treasure Chest	"Level 72"	A9E89C
21819	Treasure Chest	"Level 75"	A9E89C
21820	Treasure Chest	"Level 78"	A9E89C
21821	Treasure Chest	"Level 81"	A9E89C
21822	Treasure Chest	"Level 84"	A9E89C
21823	Executor of Sacrificial Offerings	"Level 80"	A9E89C
21824	Alpen Kookaburra		A9E89C
21825	Alpen Kookaburra		A9E89C
21826	Alpen Buffalo		A9E89C
21827	Alpen Buffalo		A9E89C
21828	Alpen Cougar		A9E89C
21829	Alpen Cougar		A9E89C
22001	Grim Wolf		A9E89C
22002	Grim Grizzly		A9E89C
22003	Grave Robber Scout		A9E89C
22004	Grave Robber Lookout		A9E89C
22005	Grave Robber Ranger		A9E89C
22006	Grave Robber Guard		A9E89C
22007	Ghost of a Soldier		A9E89C
22008	Grave Robber Fighter		A9E89C
22009	Ghost of a Loyal Vassal		A9E89C
22010	Ghost of a General		A9E89C
22011	Ghost of a Batur Chief		A9E89C
22012	Ghost of a Batur Chief		A9E89C
22013	Ghost of a Morek Chief		A9E89C
22014	Ghost of a Morek Chief		A9E89C
22015	Ghost of a Turka Chief		A9E89C
22016	Ghost of a Turka Chief		A9E89C
22017	Bandit Sweeper		A9E89C
22018	Bandit Hound		A9E89C
22019	Bandit Watchman		A9E89C
22020	Snow Lynx		A9E89C
22021	Bandit Undertaker		A9E89C
22022	Bandit Assassin		A9E89C
22023	Bandit Warrior		A9E89C
22024	Bandit Inspector		A9E89C
22025	Frozen Wasteland Werewolf		A9E89C
22026	Bandit Captain		A9E89C
